ensembl_gene_id,symbol,clip_fpkm_mean,rna_case,rna_control,clip_enrichment,expr_change,localization_group
ENSMUSG00000026309,ILKAP,97.4837,47.5957,49.0409,0.9767772273926314,-0.04227907469661523,Nucleus
ENSMUSG00000026311,ASB1,4.809876666666667,3.24568,3.39551,0.40247697074146066,-0.05003492900455268,Unannotated
ENSMUSG00000026313,HDAC4,27.991496666666666,6.81844,6.15919,2.017761540034675,0.1270844094224136,Nucleus
ENSMUSG00000026317,CLN8,2.0900366666666668,3.54214,3.24489,-0.45810321158343686,0.09764500519287818,Integral Membrane
ENSMUSG00000026319,2310035C23RIK,828.3773333333334,15.4024,16.9053,5.533570023239684,-0.12647976545017617,Unannotated
ENSMUSG00000026333,GIN1,21.278589999999998,8.08289,7.57765,1.377003573205211,0.0825689583759698,Unannotated
ENSMUSG00000026335,PAM,27.149600000000003,38.7997,33.1,-0.27665731719674613,0.2229858168927561,Unannotated
ENSMUSG00000026339,CCDC93,5.275849999999999,4.55619,4.58215,0.1689899785424857,-0.0067249574131871175,Unannotated
ENSMUSG00000026341,ACTR3,158.29399999999998,31.9443,30.5372,2.3365654444097936,0.06297429520556551,Nucleus
ENSMUSG00000026342,SLC35F5,44.18129866666666,22.5293,23.0336,0.9106729730001916,-0.030594365548796146,Integral Membrane
ENSMUSG00000026349,CCNT2,13.5206,24.6701,22.4245,-0.6899171860386554,0.13207066242407808,Nucleus
