GO,n_genes,mean_clip_enrichment,mean_expr_change,clip_p,expr_p,TERM,ontology,clip_fdr,expr_fdr,combined_fdr,neglog10_fdr
GO:0042975,20,1.9061233266011648,0.06532119156438321,6.318390129832596e-4,0.26092372361923216,peroxisome proliferator activated receptor binding,MF,0.006742906966680723,0.6551871442350573,0.006742906966680723,2.171152832335213
GO:0008484,10,-1.3120339071776457,-0.04510068785483235,6.510737389963285e-4,0.5446236620951059,sulfuric ester hydrolase activity,MF,0.00684128251899219,0.844317883586813,0.00684128251899219,2.1648624744920038
GO:0004842,210,0.6535594086799067,-0.0038187154794528115,6.617914447593825e-4,0.07594923922117033,ubiquitin-protein transferase activity,MF,0.006848538738949367,0.36888393994673147,0.006848538738949367,2.1644020832973165
GO:0005507,41,-0.7068304739926613,0.05347395123798675,7.408262455229933e-4,0.23886638703092405,copper ion binding,MF,0.007552004861077678,0.6157344593985327,0.007552004861077678,2.121937739163042
GO:0005085,179,0.7204651246172156,0.039561713249508544,7.770542785098174e-4,0.1730240581100553,guanyl-nucleotide exchange factor activity,MF,0.0078048245915030194,0.5396138433295332,0.0078048245915030194,2.107636852985721
GO:0015631,55,1.0057137131615077,0.004400816441790379,7.908949398662262e-4,0.16870121466762647,tubulin binding,MF,0.007828713680125108,0.5343655576357157,0.007828713680125108,2.106309590115204
GO:0019900,101,0.4474510001799687,0.08631039551309759,0.1345435388435712,2.0299739433817887e-4,kinase binding,MF,0.3179696783050489,0.00788138746451987,0.00788138746451987,2.10339732119792
GO:0003779,298,0.31908616933831707,0.05745981900552895,0.4083647615847752,2.0770860082189996e-4,actin binding,MF,0.6281827300954987,0.00788138746451987,0.00788138746451987,2.10339732119792
GO:0004869,19,-1.2384691770232972,0.09140544965974666,9.356371134435211e-4,0.9988210938214847,cysteine-type endopeptidase inhibitor activity,MF,0.009129144978313214,1,0.009129144978313214,2.0395698959146706
GO:0005096,210,0.6862158497668952,0.03989134950857995,9.90539109593141e-4,0.16724849636492556,GTPase activator activity,MF,0.00952870720918472,0.5343655576357157,0.00952870720918472,2.0209660175151485
GO:0003924,226,-0.11549157600475983,0.043734508424273164,0.00104584469221432,0.12364586698704196,GTPase activity,MF,0.00992099895531084,0.4697235062968121,0.00992099895531084,2.0034445960981904
GO:0032977,17,0.010103831817403036,-0.09719492639572913,0.7942703367027184,3.1729333932163076e-4,membrane insertase activity,MF,0.8966721321784409,0.01083556753783369,0.01083556753783369,1.965148336573569
GO:0030215,18,-0.10483679142564244,0.146652366690051,0.48040482012600566,4.3768986165879965e-4,semaphorin receptor binding,MF,0.6864361760377864,0.012455923979706672,0.012455923979706672,1.9046240509934567
