GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0061621,21,-2.0117398053890003,-0.7862004134468142,6.549267505043966e-7,1.6420601340051036e-5,canonical glycolysis,BP,1.0282349982919027e-4,3.8287639758237814e-4,1.0282349982919027e-4,3.987907618027465
GO:2000781,44,-0.665151647867494,-0.588599399485054,0.37407049660632946,3.298847828946985e-6,positive regulation of double-strand break repair,BP,0.6668417188653235,1.0358382182893532e-4,1.0358382182893532e-4,3.98470806929228
GO:1902459,46,-0.679681485569113,-0.5538941229331187,0.3436244243960213,3.625350385709295e-6,positive regulation of stem cell population maintenance,BP,0.6333253727807598,1.1233815997822882e-4,1.1233815997822882e-4,3.9494726938464373
GO:0033627,15,0.7381857775570102,0.5160449272895403,1.1648793296250334e-4,4.428805229881278e-6,cell adhesion mediated by integrin,BP,0.004094463912338737,1.354524196931222e-4,1.354524196931222e-4,3.8682132324175633
GO:0015693,14,0.9974540433539798,0.6062035579857206,9.270910012313243e-7,1.6196691471786803e-5,magnesium ion transport,BP,1.3645620674373554e-4,3.8181856307278834e-4,1.3645620674373554e-4,3.8650067055547295
GO:0043410,152,-0.18031290017785517,0.043040695600961416,1.2618509934462382e-4,4.6173929490927685e-6,positive regulation of MAPK cascade,BP,0.004245227270808416,1.3764506829257558e-4,1.3764506829257558e-4,3.8612393443991655
GO:0042987,15,0.6685121703139263,0.5216467629337918,7.562750284988196e-5,4.777296232776556e-6,amyloid precursor protein catabolic process,BP,0.0030707374001977933,1.4063165785235988e-4,1.4063165785235988e-4,3.8519169034772167
GO:0034976,96,0.10469242312674236,0.06733077345411873,1.0459848950657988e-6,1.7664823547818074e-4,response to endoplasmic reticulum stress,BP,1.4489967222823272e-4,0.002649723532172711,1.4489967222823272e-4,3.838932596927934
GO:0007015,114,-0.6655438271859797,-0.44745653344148134,0.1740804136980859,5.12896259600002e-6,actin filament organization,BP,0.448533232230845,1.473013038241469e-4,1.473013038241469e-4,3.831793409022092
GO:0000380,28,-0.5130082671172953,-0.6451258510725082,0.8680679742805812,5.0957916182916685e-6,"alternative mRNA splicing, via spliceosome",BP,0.9474411493535542,1.473013038241469e-4,1.473013038241469e-4,3.831793409022092
GO:0098655,31,-0.031607637379933815,0.3129250597954028,0.013529052026515604,5.583993611791685e-6,monoatomic cation transmembrane transport,BP,0.11258274742913162,1.5655124947344545e-4,1.5655124947344545e-4,3.8053434618237687
GO:0006855,11,0.3721827181110712,0.7452143163548177,0.005238809720411919,5.56434988902725e-6,xenobiotic transmembrane transport,BP,0.05819526835646259,1.5655124947344545e-4,1.5655124947344545e-4,3.8053434618237687
GO:0007220,10,0.7795703091257379,0.7499924073347464,4.66061671953282e-4,5.9363249271715595e-6,Notch receptor processing,BP,0.010134273096137595,1.6447112004104732e-4,1.6447112004104732e-4,3.7839103500418183
GO:0030324,95,0.048822479190494275,-0.05070245164188191,1.4091535660538227e-6,0.016466138266729775,lung development,BP,1.6978015383634613e-4,0.07930011373854524,1.6978015383634613e-4,3.770113077243412
GO:0008203,78,0.10814264150094276,0.11678501489910928,1.4418696716462517e-6,6.258936616024287e-6,cholesterol metabolic process,BP,1.6978015383634613e-4,1.7139297361322322e-4,1.6978015383634613e-4,3.770113077243412
