GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:2000767,15,-0.42887670991607324,-0.6199799429476532,0.4903950676921975,0.001939945263860275,positive regulation of cytoplasmic translation,ALL,0.7404108971210352,0.011475868257901924,0.011475868257901924,1.9402144460651676
GO:0002062,35,0.10606071337665628,0.04985628305261507,7.361497927110705e-4,0.016829569407683685,chondrocyte differentiation,ALL,0.011587062596284822,0.06049502162339417,0.011587062596284822,1.9360266468586904
GO:0031069,22,0.26218546559566197,0.09798925464524683,7.445362964588961e-4,0.014094945437624282,hair follicle morphogenesis,ALL,0.011616716974880507,0.05301183163013848,0.011616716974880507,1.9349165914937527
GO:0060993,11,0.6856032008915836,-0.09652862480808287,7.440332974108505e-4,0.41714478630168544,kidney morphogenesis,ALL,0.011616716974880507,0.597617610848405,0.011616716974880507,1.9349165914937527
GO:0016459,35,-0.6212409946363968,-0.4853137785611272,0.5820083746673483,0.0019804438913155506,myosin complex,ALL,0.7983616120136643,0.011696076072182583,0.011696076072182583,1.9319598156921585
GO:0008237,97,-0.10332748851144716,0.01909480742683504,7.5788837825443e-4,0.003721213468336332,metallopeptidase activity,ALL,0.011773631197839472,0.01918599671337044,0.011773631197839472,1.9290895723332435
GO:0001618,22,-0.037613586622759085,0.2645316189493573,0.05132051401706876,0.0020256830854975213,virus receptor activity,ALL,0.21700378293844577,0.011937703267907105,0.011937703267907105,1.923079220444526
GO:0001046,17,-0.6792821944380533,-0.6196136424366695,0.7041587203560142,0.0020280397099411173,core promoter sequence-specific DNA binding,ALL,0.8690705035689253,0.011937703267907105,0.011937703267907105,1.923079220444526
GO:0071006,12,-1.1039809082957983,-0.6701736531219581,0.0419854126057554,0.0020395444958385854,U2-type catalytic step 1 spliceosome,ALL,0.19183360516670594,0.011985678427025108,0.011985678427025108,1.9213373785035415
GO:0001578,30,-0.8534063010510222,-0.5202563740884725,0.1459258101074726,0.002048074637117525,microtubule bundle formation,ALL,0.3888090376689035,0.012016043806930898,0.012016043806930898,1.9202384970281827
GO:0006983,11,0.7735500267014369,0.2767061042924892,7.879505471275965e-4,0.007669883897321224,ER overload response,ALL,0.012031398738832917,0.03354283373944766,0.012031398738832917,1.9196838797886446
GO:0033106,15,0.026471188733165132,0.24191382777238177,0.055046762227034474,0.002062445528870815,cis-Golgi network membrane,ALL,0.22792697010497673,0.012080521105992496,0.012080521105992496,1.9179143315612592
GO:0031981,33,-0.34315698026227526,-0.476892652799976,0.24313552625574456,0.0020757875878529425,nuclear lumen,ALL,0.5142226261513381,0.012138770951552478,0.012138770951552478,1.9158252832755756
GO:0031526,43,-0.3880149180870794,0.04761663248909961,0.49385825957257523,0.002120804686565613,brush border membrane,ALL,0.7418250734200333,0.012381756773037475,0.012381756773037475,1.90721773151074
GO:0007507,230,-0.279700644561773,-0.1297622221628679,8.324122081198192e-4,0.27503720971991064,heart development,ALL,0.01249667571265594,0.45088468587737257,0.01249667571265594,1.9032054999245345
GO:0030140,15,0.49604975266055246,0.2915981005695515,8.294372712221874e-4,0.0030998309291621513,trans-Golgi network transport vesicle,ALL,0.01249667571265594,0.01665518181939303,0.01249667571265594,1.9032054999245345
GO:0007017,36,-1.214457542892311,-0.4541592992310609,8.593007028432551e-4,0.002741304502428655,microtubule-based process,ALL,0.012792839213578959,0.015138610490228105,0.012792839213578959,1.8930330584963673
GO:0050778,12,-0.4815115165249803,0.30475271508919605,0.9188194327243586,0.002198667457610314,positive regulation of immune response,ALL,0.9684000210830711,0.012815397758632385,0.012815397758632385,1.8922679098310158
GO:0061630,298,-0.5191713978434,-0.27831245041078223,0.7692658471705596,0.00222722446493366,ubiquitin protein ligase activity,ALL,0.8994066989333801,0.012960705233237732,0.012960705233237732,1.8873713664769498
GO:0009408,31,-0.7790744438022217,-0.5128660553364388,0.43254176233885355,0.002240310604072586,response to heat,ALL,0.6948831940973106,0.013015658192441219,0.013015658192441219,1.8855338650409128
GO:0000993,30,-0.5919108738598788,-0.50004492142841,0.8054466306327579,0.002284681452482623,RNA polymerase II complex binding,ALL,0.9173926717407854,0.013230416255624657,0.013230416255624657,1.8784264918157487
GO:0072593,33,-0.44064628584143606,0.1144422984103561,0.5481859305966041,0.002281934410292187,reactive oxygen species metabolic process,ALL,0.7766329619435633,0.013230416255624657,0.013230416255624657,1.8784264918157487
GO:0035633,12,0.5806791248226967,0.5032186131658175,8.936348440174086e-4,0.002496777696642466,maintenance of blood-brain barrier,ALL,0.013248785467527805,0.0140605161241565,0.013248785467527805,1.8778239322122072
GO:1904646,31,0.12320265522310057,0.05934012756284005,9.01945578207122e-4,0.012982169502904392,cellular response to amyloid-beta,ALL,0.013316741946008457,0.04950404656763863,0.013316741946008457,1.8756020160025433
GO:0060340,16,-0.5448738662345226,-0.6390462451680875,0.9465111599901995,0.00230822807755539,positive regulation of type I interferon-mediated signaling pathway,ALL,0.9795306018433017,0.013345143885283833,0.013345143885283833,1.8746767393550856
