GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0005743,470,-0.80041413139827855,-0.07791665667464319,2.617925375405952e-6,1.585033965013227e-5,mitochondrial inner membrane,CC,5.303722890174281e-5,1.111555870336199e-4,5.303722890174281e-5,4.275419175103302
GO:0000792,58,-0.42982434182944496,-0.5329620080941306,0.750445844381781,7.066979000109292e-6,heterochromatin,CC,0.8675263193661764,5.4445598775489895e-5,5.4445598775489895e-5,4.2640372215973414
GO:0034663,10,1.4022514755793933,0.425161911008438,2.911162406965712e-6,3.9985030664522076e-4,endoplasmic reticulum chaperone complex,CC,5.687163702179444e-5,0.0020643295790861065,5.687163702179444e-5,4.245104270617187
GO:0071564,13,-0.8570967023217144,-0.8950259664065497,0.17832243440850784,7.714124707987927e-6,npBAF complex,CC,0.38803930972128914,5.8605919656519394e-5,5.8605919656519394e-5,4.2320585146249545
GO:0000922,147,-0.7035156198032398,-0.38310711760363453,0.056290169423679114,8.429839333914411e-6,spindle pole,CC,0.1889001391089109,6.316605637878333e-5,6.316605637878333e-5,4.199516236393521
GO:0005884,81,-0.4373139401557028,-0.47209268209761013,0.34480508219636224,8.910521596016947e-6,actin filament,CC,0.5676417457713283,6.586561233812527e-5,6.586561233812527e-5,4.181341266280792
GO:0031902,134,-0.23391613208458079,0.031150461844531595,0.010502097614715917,1.0601325350825813e-5,late endosome membrane,CC,0.058025705617174114,7.73189995586896e-5,7.73189995586896e-5,4.111713774003954
GO:0000791,58,-0.4006003149780273,-0.5227252968093683,0.598500798594058,1.1681218256393126e-5,euchromatin,CC,0.7613486903045342,8.407403139798737e-5,8.407403139798737e-5,4.0753381274142475
GO:0000228,26,-0.4918350186272296,-0.6781393389891981,0.8762585379586416,1.219947387369426e-5,nuclear chromosome,CC,0.9512211580848534,8.666379492091896e-5,8.666379492091896e-5,4.062162297564173
GO:0043505,12,1.7155132121327592,-0.2541837523251328,5.145446645057231e-6,0.7817154121044594,CENP-A containing nucleosome,CC,9.705376947745881e-5,0.8417289968920065,9.705376947745881e-5,4.0129875923573435
GO:0005793,76,0.0706009876946781,0.07395706957700798,6.6870216846019295e-6,1.9071841429543253e-5,endoplasmic reticulum-Golgi intermediate compartment,CC,1.2192669538257518e-4,1.3205439572101468e-4,1.2192669538257518e-4,3.9139011968585775
GO:0005581,33,-0.1843776101105931,0.2916252905256121,0.06763906861693658,2.9425244904090104e-5,collagen trimer,CC,0.21510796821781575,2.0119511203171609e-4,2.0119511203171609e-4,3.696382574527839
