GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0005216,69,-0.1264398802775771,0.16097750185204096,0.001652289128428638,2.8159742564332137e-6,monoatomic ion channel activity,MF,0.01767103853194126,2.5883818165297074e-5,2.5883818165297074e-5,4.58697165977262
GO:0005085,182,-0.7005489227222266,-0.38665968226023384,0.0332401701880396,2.949719668391437e-6,guanyl-nucleotide exchange factor activity,MF,0.15060461951796772,2.6746782398522354e-5,2.6746782398522354e-5,4.572728455534909
GO:0019955,21,0.5091950938254767,0.4339157361026997,1.4034583615935497e-4,3.0082796894949353e-6,cytokine binding,MF,0.0028536986685735507,2.691407562201469e-5,2.691407562201469e-5,4.570020531662975
GO:0106222,30,-0.48822584577649386,-0.653904130212924,0.8898631239004384,3.5413111258030964e-6,lncRNA binding,MF,0.942146123073847,3.085999695342698e-5,3.085999695342698e-5,4.510604121147463
GO:0050431,18,0.25167160692545276,0.48535431120657685,0.008633799729118156,4.159553573952842e-6,transforming growth factor beta binding,MF,0.06098189071829771,3.578282625797893e-5,3.578282625797893e-5,4.446325360253553
GO:0015026,28,0.42432423025291216,0.3279155874598348,3.573060731102319e-5,4.870871680477244e-6,coreceptor activity,MF,9.44152028876491e-4,4.13715809822814e-5,4.13715809822814e-5,4.383297882566865
GO:0016758,20,-0.1017507715315122,0.4542819143122682,0.07832733756568105,5.242707224149992e-6,hexosyltransferase activity,MF,0.2576355073851568,4.3801456646882786e-5,4.3801456646882786e-5,4.358511446500828
GO:0031491,33,-0.8193547500735441,-0.6228097500928849,0.12195271979438223,5.287508179429963e-6,nucleosome binding,MF,0.3353699794345511,4.3801456646882786e-5,4.3801456646882786e-5,4.358511446500828
GO:0016779,94,-0.7979596489887051,-0.4556946266645936,0.03768833623142439,5.536851840118617e-6,nucleotidyltransferase activity,MF,0.1600652836944056,4.530765347219015e-5,4.530765347219015e-5,4.343828429775541
GO:0008374,20,0.3721619537613089,0.37849890289643423,5.537773636147779e-4,5.653201279152223e-6,O-acyltransferase activity,MF,0.008077926325772087,4.570238624471255e-5,4.570238624471255e-5,4.340061123653218
GO:1990841,70,-0.6479753271382374,-0.5068535996917211,0.41836081899251454,5.771441698757463e-6,promoter-specific chromatin binding,MF,0.6483143407482154,4.610282595078878e-5,4.610282595078878e-5,4.336272452978717
GO:0004222,62,0.08287972208475772,0.18373303478643693,3.232833335695658e-5,6.909695710564727e-6,metalloendopeptidase activity,MF,9.03846320104911e-4,5.454595084457567e-5,5.454595084457567e-5,4.2632374832264475
GO:0016780,12,0.5923692461725982,0.5914746370034579,4.5145440848193323e-4,8.620836456249304e-6,"phosphotransferase activity, for other substituted phosphate groups",MF,0.006807451498367341,6.726257281561956e-5,6.726257281561956e-5,4.172226524796337
GO:0015095,14,0.8829044382653907,0.5566788207262934,4.9362799553536505e-6,9.670835214617027e-6,magnesium ion transmembrane transporter activity,MF,1.840135472245722e-4,7.458770608055201e-5,7.458770608055201e-5,4.127332749221277
GO:0051287,39,-1.0673560546027772,-0.5802265219901726,0.003948180439939963,1.0705520907428222e-5,NAD binding,MF,0.0335345452556926,8.162959691914019e-5,8.162959691914019e-5,4.088152348009038
GO:0043021,44,-0.902007213520719,-0.5318266206885401,0.08884938641708003,1.0835537183861247e-5,ribonucleoprotein complex binding,MF,0.27804588931749646,8.169264550978536e-5,8.169264550978536e-5,4.087817039652234
